20"CTR_NO","CTR_SIZE","LDD_MT_FLG","IMP_EXP_FLG","FCL_LCL_FLG","SEAL_NO","SLINE_CD","ICD_LOC_CD","STK_LOC","ROW_NO","COLUMN_NO","HEIGHT","STK_ID","ID"
"TCKU6369445",40,"L","I","FCL","M7733627","CMCGM","ST","025/011B","025","011","B","S4","S4:025:011:B"
"TGHU6177840",40,"L","I","FCL","GTCL048886","GRM","ST","027/012B","027","012","B","S4","S4:027:012:B"
"TLLU4404408",40,"L","I","FCL","M9233123","CMCGM","ST","030/039A","030","039","A","M1","M1:030:039:A"
"HAMU3598708",40,"L","I","FCL","2610957","HLI","ST","022/012B","022","012","B","S4","S4:022:012:B"
"TEMU2814059",20,"E","E","","","MSC","NTA","333/026C","333","026","C","N8","N8:333:026:C"
"HLHU8510028",40,"L","X","FCL","","HUENG","ST","008/064A","008","064","A","S2","S2:008:064:A"
"DRYU9539001",40,"E","E","FCL","","SHLP","ST","041/028B","041","028","B","S5","S5:041:028:B"
"TCNU1830219",40,"L","I","FCL","HLD2803123","HLI","ST","025/003A","025","003","A","S4","S4:025:003:A"
"HLBU1682126",40,"L","I","FCL","HLD2815315","HLI","ST","024/006B","024","006","B","S4","S4:024:006:B"
"NLLU4122116",40,"E","E","FCL","","ECM","ST","033/045B","033","045","B","M1","M1:033:045:B"
"MAEU4129523",40,"E","E","","","MAI","WHF","506/091A","506","091","A","2P","2P:506:091:A"
"TGBU2527676",20,"E","E","FCL","","KMTP","WHF","530/009C","530","009","C","NP","NP:530:009:C"
"MSKU5710335",20,"E","E","FCL","","MAI","ST","016/087A","016","087","A","S3","S3:016:087:A"
"BSVU2206950",20,"E","E","","","SHLP","WHF","531/013A","531","013","A","NP","NP:531:013:A"
"HLBU3754457",20,"L","I","FCL","UL5626981","HLI","ST","018/010A","018","010","A","S3","S3:018:010:A"
"CBHU8963077",40,"E","E","FCL","","WMPL","IWH","100/014A","100","014","A","I4","I4:100:014:A"
"AXIU2016722",20,"E","E","FCL","","HLI","ST","016/082B","016","082","B","S3","S3:016:082:B"
"BEAU2096755",20,"E","E","FCL","","HLI","ST","019/084C","019","084","C","S3","S3:019:084:C"
"BMOU1402515",20,"E","E","FCL","","HLI","NTA","335/022B","335","022","B","N8","N8:335:022:B"
"BMOU1426878",20,"E","E","FCL","","HLI","WHF","511/083A","511","083","A","3P","3P:511:083:A"
"BMOU1427534",20,"E","E","FCL","","HLI","ST","021/086B","021","086","B","S3","S3:021:086:B"
"CAAU2386904",20,"L","X","FCL","","HLI","WHF","501/061B","501","061","B","1P","1P:501:061:B"
"CAIU6332806",20,"E","E","FCL","","HLI","EWH","219/008C","219","008","C","E4","E4:219:008:C"
"FBIU0446578",20,"E","E","FCL","","HLI","WHF","513/078A","513","078","A","3P","3P:513:078:A"
"HLBU1238847",20,"E","E","FCL","","HLI","ST","022/086A","022","086","A","S4","S4:022:086:A"
"HLBU1335282",20,"E","E","FCL","","HLI","WHF","513/091A","513","091","A","3P","3P:513:091:A"
"HLBU2730975",20,"E","E","FCL","","HLI","ST","021/090C","021","090","C","S3","S3:021:090:C"
"HLBU3794803",20,"E","E","FCL","","HLI","ST","019/073C","019","073","C","S3","S3:019:073:C"
"HLXU1027498",20,"E","E","FCL","","HLI","ST","022/097D","022","097","D","S4","S4:022:097:D"
"NIDU2303814",20,"E","E","FCL","","HLI","ST","019/085B","019","085","B","S3","S3:019:085:B"
"SEGU3576257",20,"E","E","FCL","","HLI","ST","022/090B","022","090","B","S4","S4:022:090:B"
"CAAU6348800",40,"E","X","","","CMCGM","ST","039/026C","039","026","C","S5","S5:039:026:C"
"BHCU3043139",20,"E","E","","","WHLL","ST","028/088A","028","088","A","S4","S4:028:088:A"
"YMMU7340458",40,"E","E","FCL","","YML","ST","031/040C","031","040","C","M1","M1:031:040:C"
"MRKU4633361",40,"L","X","FCL","","MAI","ST","013/048A","013","048","A","S2","S2:013:048:A"
"ECMU5400748",40,"E","X","","","CMCGM","NTA","337/018C","337","018","C","N8","N8:337:018:C"
"ECMU5330954",40,"L","X","FCL","639786","CMCGM","ST","008/040A","008","040","A","S2","S2:008:040:A"
"TEMU8869378",40,"E","E","","","ONEPL","WHF","521/001C","521","001","C","4P","4P:521:001:C"
"DFSU2706920",20,"E","E","","","MSC","ST","027/086A","027","086","A","S4","S4:027:086:A"
"TGCU5525217",40,"L","X","FCL","639737","CMCGM","WHF","501/055B","501","055","B","1P","1P:501:055:B"
"BMOU5885176",40,"L","X","FCL","639905","CMCGM","ST","007/037C","007","037","C","S1","S1:007:037:C"
"CMAU9819278",40,"E","X","","","CMCGM","EWH","201/008A","201","008","A","E1","E1:201:008:A"
"ONEU5539326",40,"E","E","","","ONEPL","WHF","523/045B","523","045","B","5P","5P:523:045:B"
"TCLU8651291",40,"L","X","FCL","639922","CMCGM","WHF","503/061A","503","061","A","1P","1P:503:061:A"
"SUDU6842469",40,"L","X","FCL","","MAI","ST","012/067A","012","067","A","S2","S2:012:067:A"
"TEMU0616901",20,"E","E","","","ONEPL","ST","020/077B","020","077","B","S3","S3:020:077:B"
"WHSU5616968",40,"E","E","FCL","","WHLL","IWH","099/024C","099","024","C","I4","I4:099:024:C"
"MSDU1012937",20,"E","E","","","MSC","ST","024/080B","024","080","B","S4","S4:024:080:B"
"DPWU2029495",20,"E","E","","","UAIPL","ST","024/089B","024","089","B","S4","S4:024:089:B"
"ONEU2316740",20,"E","E","","","ONEPL","ST","024/099A","024","099","A","S4","S4:024:099:A"
"TCNU1360780",40,"E","E","","","MSC","EWH","201/018A","201","018","A","E1","E1:201:018:A"
"MSKU7990195",20,"E","E","","","MAI","WHF","513/097C","513","097","C","3P","3P:513:097:C"
