20"CTR_NO","CTR_SIZE","LDD_MT_FLG","IMP_EXP_FLG","FCL_LCL_FLG","SEAL_NO","SLINE_CD","ICD_LOC_CD","STK_LOC","ROW_NO","COLUMN_NO","HEIGHT","STK_ID","ID"
"TCLU6501224",40,"L","I","FCL","OOLEFT8986","OOCL","NTA","318/015B","318","015","B","N5","N5:318:015:B"
"TCNU5021167",40,"E","E","FCL","","HJS","EWH","541/042A","541","042","A","EP","EP:541:042:A"
"OOLU8595659",40,"L","I","FCL","9851","OOCL","NTA","311/003A","311","003","A","N3","N3:311:003:A"
"OOLU8876189",40,"L","I","FCL","9860","OOCL","NTA","299/017B","299","017","B","N1","N1:299:017:B"
"OOLU9752048",40,"L","I","FCL","9848","OOCL","NTA","299/017C","299","017","C","N1","N1:299:017:C"
"CLHU9054376",40,"L","I","FCL","707078","ESAPL","ST","072/013C","072","013","C","S9","S9:072:013:C"
"PONU0837498",20,"L","I","FCL","3596875","MAI","ST","032/010B","032","010","B","M1","M1:032:010:B"
"MSKU1848985",40,"L","I","FCL","CN4385316","MAI","ST","072/005A","072","005","A","S9","S9:072:005:A"
"HJCU8317592",20,"E","E","FCL","","HJS","NTA","323/004C","323","004","C","N6","N6:323:004:C"
"OOLU9494621",40,"L","I","FCL","OOLDQH8078","OOCL","NTA","333/007D","333","007","D","N8","N8:333:007:D"
"OOLU8738359",40,"L","I","FCL","OOLEFT5822","OOCL","WHF","531/001B","531","001","B","NP","NP:531:001:B"
"MOTU0487697",40,"E","E","","","PSAP","EWH","218/071D","218","071","D","E4","E4:218:071:D"
"OOLU8639377",40,"L","I","FCL","OOLEFT6325","OOCL","NTA","317/001A","317","001","A","N4","N4:317:001:A"
"TEMU6979714",40,"L","I","FCL","OOLEFT4260","OOCL","NTA","309/009B","309","009","B","N3","N3:309:009:B"
"HJCU1716456",40,"E","E","","","HJS","HVG","149/001D","149","001","D","H1","H1:149:001:D"
"TGHU9471879",40,"L","I","FCL","9273190","CMCGM","NTA","305/011B","305","011","B","N2","N2:305:011:B"
"IPXU3532917",20,"E","E","","","TAI","HVG","185/010A","185","010","A","H4","H4:185:010:A"
"CCLU2758429",20,"E","E","","","TAI","HVG","152/004D","152","004","D","H1","H1:152:004:D"
"PCIU9058106",40,"L","I","FCL","Y0671160","PIL","NTA","314/004C","314","004","C","N4","N4:314:004:C"
"HLXU8434047",40,"L","I","FCL","HLD2575471","HLI","NTA","302/008C","302","008","C","N1","N1:302:008:C"
"SEGU4210940",40,"L","I","FCL","D5654881","CMCGM","ST","021/027B","021","027","B","S3","S3:021:027:B"
"APHU6656142",40,"L","I","FCL","F6008149","CMCGM","NTA","313/001A","313","001","A","N4","N4:313:001:A"
"CMAU5167530",40,"L","I","FCL","F6008148","CMCGM","NTA","299/035D","299","035","D","N1","N1:299:035:D"
"MRKU5741988",40,"L","I","FCL","CN4397317","MAI","NTA","321/017B","321","017","B","N5","N5:321:017:B"
"CMAU4596839",40,"L","I","FCL","F6015181","CMCGM","NTA","324/011C","324","011","C","N6","N6:324:011:C"
"CMAU5729936",40,"L","I","FCL","F6026550","CMCGM","NTA","311/005B","311","005","B","N3","N3:311:005:B"
"MRKU2834829",40,"L","I","FCL","CN4663837","MAI","NTA","323/015C","323","015","C","N6","N6:323:015:C"
"MRKU3892331",40,"L","I","FCL","CN4651671","MAI","NTA","321/010A","321","010","A","N5","N5:321:010:A"
"TCLU0691174",20,"L","I","FCL","GH0111286","MAI","ST","033/011B","033","011","B","M1","M1:033:011:B"
"MAGU5348565",40,"L","I","FCL","INT","CMCGM","NTA","312/007A","312","007","A","N3","N3:312:007:A"
"TEMU6978560",40,"L","I","FCL","OOLEFP3645","OOCL","ST","073/007D","073","007","D","S9","S9:073:007:D"
"TCLU1722752",40,"L","I","FCL","F6012615","CMCGM","NTA","322/015B","322","015","B","N5","N5:322:015:B"
"TCLU1758966",40,"L","I","FCL","8775","OOCL","WHF","517/028A","517","028","A","4P","4P:517:028:A"
"HLBU1816272",40,"L","I","FCL","HLB2941477","HLI","NTA","301/033A","301","033","A","N1","N1:301:033:A"
"TCLU8637924",40,"L","I","FCL","HLD2573718","HLI","NTA","327/009B","327","009","B","N6","N6:327:009:B"
"PCIU8791119",40,"L","I","FCL","0519777","PIL","NTA","302/017C","302","017","C","N1","N1:302:017:C"
"TCNU8233088",40,"L","I","FCL","CPS088108","CMT","NTA","316/004C","316","004","C","N4","N4:316:004:C"
"MSKU8204834",40,"L","I","FCL","CN4397457","MAI","IWH","079/019B","079","019","B","I1","I1:079:019:B"
"APHU6288415",40,"L","I","FCL","F6008084","CMCGM","EWH","200/011B","200","011","B","E1","E1:200:011:B"
"GESU4697876",40,"L","I","FCL","CPS088111","CMT","ST","024/022A","024","022","A","S4","S4:024:022:A"
"MRKU6141756",40,"L","I","FCL","CN4353118","MAI","ST","026/006B","026","006","B","S4","S4:026:006:B"
"CPSU6438804",40,"L","I","FCL","HLB2939315","HLI","NTA","312/009C","312","009","C","N3","N3:312:009:C"
"MRKU3392249",40,"L","I","FCL","CN4352074","MAI","ST","024/030A","024","030","A","S4","S4:024:030:A"
"MSKU0918244",40,"L","I","FCL","CN4352064","MAI","ST","021/036A","021","036","A","S3","S3:021:036:A"
"DRYU9888425",40,"L","I","FCL","A394489","ESAPL","NTA","323/017A","323","017","A","N6","N6:323:017:A"
"DFSU7592184",40,"L","I","FCL","A394485","ESAPL","NTA","327/009C","327","009","C","N6","N6:327:009:C"
"DRYU9887389",40,"L","I","FCL","A394487","ESAPL","NTA","323/017B","323","017","B","N6","N6:323:017:B"
"TGHU9278710",40,"L","I","FCL","A394486","ESAPL","NTA","319/018C","319","018","C","N5","N5:319:018:C"
"UNIU5021580",40,"L","I","FCL","A394488","ESAPL","NTA","326/003B","326","003","B","N6","N6:326:003:B"
"BMOU2081852",20,"L","I","FCL","F5452091","CMCGM","IWH","111/018A","111","018","A","R1","R1:111:018:A"
"INKU2649691",40,"E","E","FCL","","CONT","NTA","324/005D","324","005","D","N6","N6:324:005:D"
"MXCU0037537",20,"E","E","FCL","","SEAW","HVG","192/010C","192","010","C","H4","H4:192:010:C"
"TRLU6854426",40,"L","I","FCL","CN1534059","MAI","ST","072/011B","072","011","B","S9","S9:072:011:B"
"MRKU2622666",40,"L","I","FCL","CN1496826","MAI","NTA","321/010C","321","010","C","N5","N5:321:010:C"
"MRKU5198778",40,"L","I","FCL","CN1461165","MAI","ST","025/022B","025","022","B","S4","S4:025:022:B"
"MSKU8413428",40,"L","I","FCL","CN1461170","MAI","ST","072/015B","072","015","B","S9","S9:072:015:B"
"ONLU4101376",40,"E","E","FCL","","BSS","NTA","323/020C","323","020","C","N6","N6:323:020:C"
"SUDU7828594",20,"L","I","FCL","H4952879","HSI","WHF","517/074A","517","074","A","4P","4P:517:074:A"
"MRKU4932470",40,"E","E","","","MAI","EWH","219/011B","219","011","B","E4","E4:219:011:B"
"MRKU2371072",40,"L","I","FCL","INT","MAI","NTA","319/010A","319","010","A","N5","N5:319:010:A"
"ECMU1774740",20,"L","I","FCL","2322566","CMCGM","IWH","080/002D","080","002","D","I1","I1:080:002:D"
"MRKU3022964",40,"L","I","FCL","CN4405901","MAI","NTA","307/001C","307","001","C","N2","N2:307:001:C"
"CMAU1936133",20,"L","I","FCL","2322572","CMCGM","IWH","079/015B","079","015","B","I1","I1:079:015:B"
"CMAU1684962",20,"L","I","FCL","2322600","CMCGM","IWH","083/013A","083","013","A","I1","I1:083:013:A"
"CMAU0423558",20,"L","I","FCL","2322593","CMCGM","IWH","083/013B","083","013","B","I1","I1:083:013:B"
"IPXU3358148",20,"L","I","FCL","2322586","CMCGM","IWH","080/014A","080","014","A","I1","I1:080:014:A"
"CMAU1608962",20,"L","I","FCL","2322587","CMCGM","IWH","083/015C","083","015","C","I1","I1:083:015:C"
"MRKU5180716",40,"L","I","FCL","CN4406917","MAI","NTA","309/011D","309","011","D","N3","N3:309:011:D"
"MSKU1859790",40,"L","I","FCL","CN4405920","MAI","NTA","316/004D","316","004","D","N4","N4:316:004:D"
"MRKU2806832",40,"L","I","FCL","CN4405906","MAI","NTA","322/009C","322","009","C","N5","N5:322:009:C"
"BMOU4511715",40,"E","E","","","SSGSL","NTA","308/005B","308","005","B","N3","N3:308:005:B"
"TRLU7092937",40,"E","E","FCL","EU09907931","MSC","NTA","322/019D","322","019","D","N5","N5:322:019:D"
"TEMU7693073",40,"L","X","FCL","","KMTP","ST","071/003C","071","003","C","S9","S9:071:003:C"
"MRKU6099390",40,"E","E","","","MAI","NTA","300/019B","300","019","B","N1","N1:300:019:B"
"CCLU7909430",40,"L","I","FCL","AA200736","COS","WHF","515/038A","515","038","A","3P","3P:515:038:A"
"EMCU9462305",40,"E","E","FCL","","OPUS","NTA","315/004A","315","004","A","N4","N4:315:004:A"
"TCLU9728401",40,"L","I","FCL","CN1136673","NYK","NTA","322/005C","322","005","C","N5","N5:322:005:C"
"SUDU5986841",40,"E","E","FCL","","HSI","NTA","322/017D","322","017","D","N5","N5:322:017:D"
"TCKU1436767",20,"L","I","FCL","CN4877076","MAI","NTA","305/020A","305","020","A","N2","N2:305:020:A"
"MRKU7180607",20,"L","I","FCL","CN4877073","MAI","NTA","303/013D","303","013","D","N2","N2:303:013:D"
"TGHU3578828",20,"L","I","FCL","CN4877071","MAI","NTA","303/020A","303","020","A","N2","N2:303:020:A"
"GATU0455415",20,"L","I","FCL","CN4877063","MAI","NTA","301/018B","301","018","B","N1","N1:301:018:B"
"MSKU3656317",20,"L","I","FCL","CN4877180","MAI","NTA","301/015C","301","015","C","N1","N1:301:015:C"
"FCIU2394095",20,"L","I","FCL","PWJ0971645","NCL","NTA","299/023A","299","023","A","N1","N1:299:023:A"
"PONU8001457",40,"L","I","FCL","CN4923295","MAI","NTA","321/005C","321","005","C","N5","N5:321:005:C"
"DRYU2253818",20,"L","I","FCL","D693280","ESAPL","NTA","300/025C","300","025","C","N1","N1:300:025:C"
"DFSU7162624",40,"L","I","FCL","EU09909540","MSC","NTA","319/002C","319","002","C","N5","N5:319:002:C"
"MSKU7530991",20,"L","I","FCL","CN4978890","MAI","NTA","303/008A","303","008","A","N2","N2:303:008:A"
"MSKU5141687",20,"L","I","FCL","CN4978884","MAI","NTA","305/017B","305","017","B","N2","N2:305:017:B"
"MSKU7025198",20,"L","I","FCL","CN4978882","MAI","NTA","302/020D","302","020","D","N1","N1:302:020:D"
"MAEU6808647",20,"L","I","FCL","CN4978899","MAI","NTA","299/017D","299","017","D","N1","N1:299:017:D"
"TGHU0691131",20,"L","I","FCL","CN4978881","MAI","NTA","305/020C","305","020","C","N2","N2:305:020:C"
"MSKU8543360",40,"L","I","FCL","CN4881118","MAI","NTA","318/009B","318","009","B","N5","N5:318:009:B"
"BSIU9027782",40,"L","I","FCL","CN4874341","MAI","NTA","321/003C","321","003","C","N5","N5:321:003:C"
"MSKU1405781",40,"L","I","FCL","CN4883060","MAI","NTA","322/013A","322","013","A","N5","N5:322:013:A"
"MRKU3984762",40,"L","I","FCL","CN4582066","MAI","NTA","321/003A","321","003","A","N5","N5:321:003:A"
"MRKU3899280",40,"E","E","","","MAI","NTA","322/013C","322","013","C","N5","N5:322:013:C"
"EISU9028729",40,"L","I","FCL","EMCBLJ6786","EGI","NTA","298/029A","298","029","A","N1","N1:298:029:A"
"TCLU8917421",40,"L","I","FCL","EMCBLJ2396","EGI","NTA","333/005A","333","005","A","N8","N8:333:005:A"
"RFCU2191690",20,"L","I","FCL","0179367","PIL","NTA","304/005A","304","005","A","N2","N2:304:005:A"
"CLHU3016173",20,"L","X","FCL","","MAMPL","ST","027/081A","027","081","A","S4","S4:027:081:A"
"HASU4662830",40,"L","X","FCL","","HSI","EWH","217/020A","217","020","A","E3","E3:217:020:A"
"TTNU9489082",40,"E","E","","","PSLP","NTA","315/003B","315","003","B","N4","N4:315:003:B"
"TGHU0698060",20,"E","E","","","ASR","WHF","516/045D","516","045","D","4P","4P:516:045:D"
"BAXU5026000",40,"E","E","","","FCI","ST","072/003B","072","003","B","S9","S9:072:003:B"
"TCNU9816665",40,"E","E","","","HSI","HVG","177/005A","177","005","A","H4","H4:177:005:A"
"MRKU4293770",40,"L","I","FCL","CN6250738","MAI","ST","073/009B","073","009","B","S9","S9:073:009:B"
"TCNU8946854",40,"E","E","","","PSLP","NTA","320/013D","320","013","D","N5","N5:320:013:D"
"MRKU5774750",40,"L","I","FCL","CN6250625","MAI","NTA","307/003A","307","003","A","N2","N2:307:003:A"
"CAIU9970949",40,"L","I","FCL","G094745","HMIPL","NTA","316/001B","316","001","B","N4","N4:316:001:B"
"MAEU8366755",40,"E","E","","","MAI","NTA","320/008C","320","008","C","N5","N5:320:008:C"
"SUDU6859076",40,"E","E","","","HSI","NTA","333/009D","333","009","D","N8","N8:333:009:D"
"TLXU4003700",40,"L","X","FCL","391168","TASS","EWH","218/091A","218","091","A","E4","E4:218:091:A"
"MSKU9188609",40,"L","I","FCL","CN4978242","MAI","NTA","323/016D","323","016","D","N6","N6:323:016:D"
"MSKU0034536",40,"L","I","FCL","CN4961694","MAI","NTA","321/007C","321","007","C","N5","N5:321:007:C"
"UESU5186405",40,"E","E","FCL","","OPUS","NTA","321/005B","321","005","B","N5","N5:321:005:B"
"NYKU4408915",40,"L","I","FCL","CN1815247","NYK","NTA","318/015A","318","015","A","N5","N5:318:015:A"
"MRKU6089961",40,"E","E","","","MAI","EWH","541/021A","541","021","A","EP","EP:541:021:A"
"FCIU3390807",20,"E","E","","","ESAPL","HVG","181/001A","181","001","A","H4","H4:181:001:A"
"DRYU9941812",40,"E","E","FCL","","ESAPL","NTA","309/010C","309","010","C","N3","N3:309:010:C"
"FCIU8342490",40,"L","I","FCL","D137629","ESAPL","NTA","320/010A","320","010","A","N5","N5:320:010:A"
"TCNU8114366",40,"E","E","","","MAI","NTA","322/011D","322","011","D","N5","N5:322:011:D"
"CMAU7144149",40,"L","I","FCL","G0095862","CMCGM","NTA","305/013C","305","013","C","N2","N2:305:013:C"
"MRKU5163405",40,"E","E","FCL","","MAI","NTA","309/003A","309","003","A","N3","N3:309:003:A"
"PALU8000599",40,"E","E","","","PALI","NTA","309/012D","309","012","D","N3","N3:309:012:D"
"TGHU6955967",40,"E","E","","","ESAPL","IWH","080/025D","080","025","D","I1","I1:080:025:D"
"MSKU8255913",40,"E","E","","","MAI","NTA","313/003B","313","003","B","N4","N4:313:003:B"
"MRKU4239975",40,"L","X","FCL","","MAI","EWH","218/009A","218","009","A","E4","E4:218:009:A"
"DRYU9864763",40,"L","I","FCL","D730483","ESAPL","NTA","310/007A","310","007","A","N3","N3:310:007:A"
"CLHU8168651",40,"E","E","","","PALI","NTA","310/001A","310","001","A","N3","N3:310:001:A"
"YMLU8300836",40,"L","I","FCL","D730458","ESAPL","ST","071/007A","071","007","A","S9","S9:071:007:A"
"GATU8683767",40,"L","I","FCL","D730410","ESAPL","ST","025/058A","025","058","A","S4","S4:025:058:A"
"FSCU9981410",40,"L","I","FCL","D730490","ESAPL","ST","072/001A","072","001","A","S9","S9:072:001:A"
"XTCU4218010",40,"L","I","FCL","D730441","ESAPL","ST","023/012C","023","012","C","S4","S4:023:012:C"
"DFSU7735773",40,"L","I","FCL","D730466","ESAPL","NTA","324/009C","324","009","C","N6","N6:324:009:C"
"MIEU0007740",40,"E","E","","","MAI","ST","022/006B","022","006","B","S4","S4:022:006:B"
"MRKU6341630",40,"E","E","","","MAI","EWH","206/006A","206","006","A","E2","E2:206:006:A"
"CLHU9054680",40,"L","I","FCL","D730420","ESAPL","ST","028/035A","028","035","A","S4","S4:028:035:A"
"DFSU7533453",40,"L","I","FCL","D730363","ESAPL","ST","023/045A","023","045","A","S4","S4:023:045:A"
"INLU2200007",20,"E","E","","","NCL","HVG","176/007B","176","007","B","H3","H3:176:007:B"
"MSKU1903444",40,"L","X","FCL","","MAI","NTA","307/003D","307","003","D","N2","N2:307:003:D"
"PONU7625968",40,"E","E","","","MAI","EWH","218/003D","218","003","D","E4","E4:218:003:D"
"MRKU9143639",20,"E","E","","","MAI","ST","033/029B","033","029","B","M1","M1:033:029:B"
"TGHU9191440",40,"E","E","","","MAI","ST","071/009A","071","009","A","S9","S9:071:009:A"
"MRKU3445591",40,"E","E","","","MAI","NTA","310/012C","310","012","C","N3","N3:310:012:C"
"MRKU4174703",40,"E","E","","","MAI","EWH","206/004C","206","004","C","E2","E2:206:004:C"
"MSKU9105420",40,"E","E","","","MAI","NTA","306/005A","306","005","A","N2","N2:306:005:A"
"CAXU8056020",40,"E","E","","","MAI","EWH","542/017A","542","017","A","EP","EP:542:017:A"
"MRKU3615954",40,"E","E","","","MAI","ST","071/017D","071","017","D","S9","S9:071:017:D"
"CXIU2216873",20,"L","I","FCL","004440","CNCR","ST","029/045A","029","045","A","M1","M1:029:045:A"
"CXNU2213789",20,"L","I","FCL","004443","CNCR","IWH","113/010C","113","010","C","R2","R2:113:010:C"
"FSCU9899200",40,"L","I","FCL","K0445213","APL","WHF","572/024B","572","024","B","9P","9P:572:024:B"
"BMOU5424662",40,"L","I","FCL","G0071232","CMCGM","NTA","298/009B","298","009","B","N1","N1:298:009:B"
"TGHU8953639",40,"L","I","FCL","G0071233","CMCGM","ST","071/013D","071","013","D","S9","S9:071:013:D"
"GESU5581073",40,"E","E","","","CMCGM","NTA","314/005D","314","005","D","N4","N4:314:005:D"
"HJMU1541954",40,"L","X","FCL","","KMTP","NTA","322/001B","322","001","B","N5","N5:322:001:B"
"TCLU8720242",40,"L","I","FCL","YES","OOCL","NTA","319/007D","319","007","D","N5","N5:319:007:D"
"PCIU1054721",20,"L","I","FCL","INT","PIL","NTA","302/022B","302","022","B","N1","N1:302:022:B"
"OOLU8509732",40,"L","I","FCL","OOLBBW2436","OOCL","NTA","299/029B","299","029","B","N1","N1:299:029:B"
"CRXU3255533",20,"L","I","FCL","","LCLP","NTA","298/015C","298","015","C","N1","N1:298:015:C"
"CRXU3216795",20,"L","I","FCL","180801","LCLP","WHF","532/024B","532","024","B","NP","NP:532:024:B"
"XINU1176628",20,"L","X","FCL","","ESAPL","WHF","504/067A","504","067","A","1P","1P:504:067:A"
"TRHU3555423",20,"L","X","FCL","","ESAPL","ST","021/007B","021","007","B","S3","S3:021:007:B"
"TCKU3898569",20,"L","X","FCL","","ESAPL","WHF","501/058B","501","058","B","1P","1P:501:058:B"
"TRIU9929777",40,"E","E","","","TVS","NTA","314/001D","314","001","D","N4","N4:314:001:D"
"PCIU3537950",20,"E","E","","","RMIPL","HVG","191/005D","191","005","D","H4","H4:191:005:D"
"MSKU0009092",40,"E","E","","","MAI","EWH","218/099B","218","099","B","E4","E4:218:099:B"
"CLSU2117835",20,"E","E","FCL","","CARAV","EWH","208/020B","208","020","B","E2","E2:208:020:B"
"UACU5394711",40,"L","I","FCL","ASC7704609","HLI","NTA","311/003C","311","003","C","N3","N3:311:003:C"
"BSIU2947557",20,"L","I","FCL","Y926573","COS","ST","033/016A","033","016","A","M1","M1:033:016:A"
"INLU2109920",20,"E","E","","","NCL","HVG","191/005A","191","005","A","H4","H4:191:005:A"
"FSCU3633017",20,"E","E","FCL","INT","MOON","WHF","504/020C","504","020","C","1P","1P:504:020:C"
"MRKU5324140",40,"L","X","FCL","","MAI","EWH","210/023A","210","023","A","E2","E2:210:023:A"
"CMAU4100635",40,"L","I","FCL","K2633407","APL","NTA","299/035C","299","035","C","N1","N1:299:035:C"
"MRKU2679131",40,"L","I","FCL","T117727","MAI","WHF","535/032B","535","032","B","NP","NP:535:032:B"
"HDMU6426905",40,"L","I","FCL","353637","HMIPL","NTA","311/011B","311","011","B","N3","N3:311:011:B"
"BEAU2929208",20,"E","E","FCL","","KMTP","HVG","177/004A","177","004","A","H4","H4:177:004:A"
"WHSU4030421",40,"L","I","FCL","473055","WHLL","NTA","318/012D","318","012","D","N5","N5:318:012:D"
"GESU6337781",40,"L","I","FCL","K4141223","APL","IWH","083/017D","083","017","D","I1","I1:083:017:D"
"BMOU4050465",40,"L","I","FCL","K3306858","CMCGM","ST","021/053B","021","053","B","S3","S3:021:053:B"
"HMMU6230398",40,"E","E","","","HMMI","ST","073/011A","073","011","A","S9","S9:073:011:A"
"MSKU7633198",20,"L","I","LCL","ZA4804144","MAI","ST","033/004C","033","004","C","M1","M1:033:004:C"
"DFSU2102670",20,"L","I","FCL","0198333","NAV","NTA","323/009B","323","009","B","N6","N6:323:009:B"
"LTIU3031004",20,"L","I","FCL","0233","TVS","ST","010/005B","010","005","B","S2","S2:010:005:B"
"CXIU3001490",20,"E","I","FCL","","ACC","NTA","313/005D","313","005","D","N4","N4:313:005:D"
"CXIU3001376",20,"E","I","FCL","","ACC","IWH","113/010D","113","010","D","R2","R2:113:010:D"
"TEMU6930458",40,"E","E","","","HMMI","ST","073/019A","073","019","A","S9","S9:073:019:A"
"PCIU3779701",20,"L","I","FCL","0235","TVS","ST","013/003C","013","003","C","S2","S2:013:003:C"
"ZCIU2659070",20,"L","I","FCL","0234","TVS","ST","013/004B","013","004","B","S2","S2:013:004:B"
"HMMU6255009",40,"E","E","","","HMMI","EWH","208/011D","208","011","D","E2","E2:208:011:D"
"BAXU2619044",20,"E","E","","","ARCL","HVG","184/003A","184","003","A","H4","H4:184:003:A"
"HLXU1103089",20,"L","I","FCL","7139637","HLI","ST","033/002C","033","002","C","M1","M1:033:002:C"
"ESPU2010590",20,"E","E","","","ESAPL","EWH","205/004D","205","004","D","E2","E2:205:004:D"
"QNLU1015023",20,"L","I","FCL","CH4869362","PMIML","NTA","300/016D","300","016","D","N1","N1:300:016:D"
"CAIU3546189",20,"L","X","FCL","BOLT00460158","RCL","ST","012/004A","012","004","A","S2","S2:012:004:A"
"OOLU0486800",20,"L","X","FCL","BOLT00577814","OOCL","HVG","185/003C","185","003","C","H4","H4:185:003:C"
"FCIU2599080",20,"L","X","FCL","BOLT00577834","TVS","HVG","191/002B","191","002","B","H4","H4:191:002:B"
"FSCU7732358",20,"L","X","FCL","BOLT00577835","TVS","HVG","180/004B","180","004","B","H4","H4:180:004:B"
"DFSU7737288",40,"E","E","FCL","","ESAPL","NTA","313/003A","313","003","A","N4","N4:313:003:A"
"DVRU1615260",20,"E","E","","","FMPLP","HVG","174/003A","174","003","A","H3","H3:174:003:A"
"TCKU9624821",40,"L","I","FCL","125","SAR","WHF","535/034A","535","034","A","NP","NP:535:034:A"
"TGHU0656887",20,"L","I","FCL","5152179","HLI","NTA","305/007C","305","007","C","N2","N2:305:007:C"
"DFSU7688331",40,"L","I","FCL","CB805359","KMTP","IWH","081/025C","081","025","C","I1","I1:081:025:C"
"ESPU2021486",20,"E","E","","","ESAPL","EWH","205/002D","205","002","D","E2","E2:205:002:D"
"TCNU5171790",40,"L","I","FCL","CB805471","KMTP","ST","071/005A","071","005","A","S9","S9:071:005:A"
"CPSU6027249",40,"E","E","","","WMPL","EWH","218/040B","218","040","B","E4","E4:218:040:B"
"TEMU6646987",40,"L","I","FCL","CB804792","KMTP","ST","071/011B","071","011","B","S9","S9:071:011:B"
"BSIU9189232",40,"E","E","","","ECM","HVG","173/007B","173","007","B","H3","H3:173:007:B"
"CRSU1123198",20,"E","E","","","AVANA","HVG","184/003B","184","003","B","H4","H4:184:003:B"
"KKFU7568623",40,"E","E","","","ONEPL","ST","071/017A","071","017","A","S9","S9:071:017:A"
"TGCU2083641",20,"L","I","FCL","SH242387","SSGSL","ST","029/013C","029","013","C","M1","M1:029:013:C"
"CCLU6064196",40,"L","I","FCL","009152","HUBLL","NTA","322/003D","322","003","D","N5","N5:322:003:D"
"TEMU8821604",40,"E","E","","","ONEPL","EWH","208/021A","208","021","A","E2","E2:208:021:A"
"TGHU3057033",20,"L","I","FCL","KMA276655","KMTP","WHF","532/010C","532","010","C","NP","NP:532:010:C"
"MRKU9214711",20,"E","E","","","MAI","HVG","185/003A","185","003","A","H4","H4:185:003:A"
"YMLU8356476",40,"E","E","","","WMPL","WHF","509/003C","509","003","C","2P","2P:509:003:C"
"BSIU2567156",20,"L","I","FCL","KSA858174","KMTP","ST","019/020A","019","020","A","S3","S3:019:020:A"
"SEGU6576008",40,"E","E","LCL","","KMTP","NTA","322/017C","322","017","C","N5","N5:322:017:C"
"GESU6712373",40,"L","I","FCL","CB804769","KMTP","ST","071/007C","071","007","C","S9","S9:071:007:C"
"TRLU5930368",40,"L","I","FCL","K8885522","CMCGM","NTA","309/007C","309","007","C","N3","N3:309:007:C"
"IPXU3894623",20,"L","X","FCL","BOLT00908080","ESAPL","HVG","193/008C","193","008","C","H4","H4:193:008:C"
"TGHU0851306",20,"L","X","FCL","BOLT00908081","ESAPL","HVG","184/003D","184","003","D","H4","H4:184:003:D"
"SEGU2504376",20,"L","I","FCL","KSA927723","KMTP","NTA","301/010A","301","010","A","N1","N1:301:010:A"
"TRLU6548046",40,"E","E","","","HMMI","EWH","224/004A","224","004","A","E5","E5:224:004:A"
"MRKU5179607",40,"E","E","","","MAI","ST","009/092A","009","092","A","S2","S2:009:092:A"
"FCIU5536439",20,"E","E","FCL","","HMMI","IWH","111/008B","111","008","B","R1","R1:111:008:B"
"MRSU3966653",40,"E","E","","","MAI","NTA","307/003B","307","003","B","N2","N2:307:003:B"
"MSKU3432488",20,"E","E","FCL","","MAI","ST","017/096A","017","096","A","S3","S3:017:096:A"
"HASU5042089",40,"E","E","","","MAI","EWH","207/014A","207","014","A","E2","E2:207:014:A"
"MRKU4636226",40,"E","E","","","MAI","EWH","541/021B","541","021","B","EP","EP:541:021:B"
"TCLU6483877",40,"E","E","","","HLI","IWH","079/019A","079","019","A","I1","I1:079:019:A"
"CRSU9087440",40,"E","E","","","SEAW","WHF","520/017A","520","017","A","4P","4P:520:017:A"
"DFSU3080220",20,"E","E","","","ESAPL","HVG","173/001B","173","001","B","H3","H3:173:001:B"
"NYKU3881918",20,"E","E","","","ONEPL","HVG","189/005A","189","005","A","H4","H4:189:005:A"
"FCIU9390471",40,"L","X","FCL","","RCL","ST","071/007D","071","007","D","S9","S9:071:007:D"
"BSIU9070120",40,"E","E","","","SEAW","ST","037/020C","037","020","C","S5","S5:037:020:C"
"CRSU9131857",40,"E","E","","","SEAW","ST","071/005B","071","005","B","S9","S9:071:005:B"
"TCNU8231589",40,"L","X","FCL","","RCL","NTA","320/002A","320","002","A","N5","N5:320:002:A"
"OCGU8100414",40,"E","E","","","RCL","NTA","324/017A","324","017","A","N6","N6:324:017:A"
"CAIU2084785",20,"E","X","","","PIL","HVG","181/001B","181","001","B","H4","H4:181:001:B"
"GESU5986868",40,"E","E","","","SEAW","NTA","311/005A","311","005","A","N3","N3:311:005:A"
"BSIU2646234",20,"E","E","FCL","","LCLP","HVG","191/007B","191","007","B","H4","H4:191:007:B"
"BSIU2365453",20,"E","E","FCL","","LCLP","HVG","179/003B","179","003","B","H4","H4:179:003:B"
"OOLU8264291",40,"L","I","FCL","00879","OOCL","NTA","322/005B","322","005","B","N5","N5:322:005:B"
"FCIU4228880",20,"E","E","","","ESAPL","HVG","191/001C","191","001","C","H4","H4:191:001:C"
"SEGU2676565",20,"L","X","FCL","465763","HLI","ST","032/004A","032","004","A","M1","M1:032:004:A"
"MRKU5845236",40,"L","X","FCL","","MAI","ST","072/013A","072","013","A","S9","S9:072:013:A"
"ECMU2235608",20,"E","E","FCL","","LCLP","HVG","152/004B","152","004","B","H1","H1:152:004:B"
"CAIU6280493",20,"E","E","","","MAI","WSP","229/001C","229","001","C","W1","W1:229:001:C"
"CSNU7091548",40,"E","E","","","COSCO","EWH","542/004B","542","004","B","EP","EP:542:004:B"
"MRKU8022993",20,"E","E","","","MAI","HVG","194/007A","194","007","A","H4","H4:194:007:A"
"MRKU4229766",40,"E","E","","","MAI","WHF","507/094D","507","094","D","2P","2P:507:094:D"
